S_NO,NEG_VALUE,LINE_Off,NO_ADDR,NO_RAIN
2018100029,-340.0,正常,龙吴路与永德路,SW63423470
2018100030,-510.0,正常,宝秀路与永德路,SW63423470
2018100031,-340.0,正常,剑川路与景东路,SW63423470
2018100032,-220.0,正常,宝秀路与广南路,SW63423470
2018100101,-480.0,正常,洱海路与畹町路,QX058361
2018100102,-500.0,正常,春申路与畹町路,PS000325
2019100002,-530.0,正常,闵北路联友路,QX098410
2018100103,-305.0,正常,春申路与伟业路,PS000325
2019100003,-768.0,正常,纪翟路纪梅路,SW63404210
2018100104,-460.0,正常,澜沧路与伟业路,PS000325
2018100105,-500.0,正常,锦梅路与梅富路,PS000325
2018100106,-570.0,正常,春申路与梅富路,PS000325
2018100107,-340.0,正常,春申路与集心路,PS000325
2018100108,-590.0,正常,兴梅路与梅富路,PS000325
2018100109,-530.0,正常,高兴路与畹町路,QX058361
2018100110,-560.0,正常,高兴路与伟业路,PS000325
2018100111,-240.0,正常,高兴路与莲花南路,PS000325
2018100112,-450.0,正常,吴中路与虹莘路,PS000324
2018100113,-310.0,正常,吴中路与金汇路,PS000317
2018100114,-410.0,正常,虹泉路与金汇南路,PS000317
2018100115,-595.0,正常,虹泉路与虹莘路,PS000324
2018100116,-420.0,正常,顾戴路与龙茗路,PS000243
2018100117,-580.0,正常,平阳路与龙茗路,PS000243
2018100118,-450.0,正常,古美西路与龙茗路,PS000243
2019100010,-560.0,正常,北翟公路华漕南,SW63423440
2019300051,-307.5,低电压,宁城路市光路,PS000032
2019300052,-287.1000061035156,低电压,松花江路营口路,PS000091
2018200047,-210.5,正常,国济路政通路,PS000026
2019300008,-280.5,低电压,南京西路黄河路,QX099633
2017050005,-223.0,正常,行知路真金路,PS000299
2017050040,-78.80000305175781,正常,长宁路哈密路,SW63405150
11100007,-204.82000732421875,正常,齐齐哈尔路—兰州路,PS000085
11100008,-234.6999969482422,正常,宁国路—临青路,PS000086
11100009,-246.60000610351562,正常,四平路—政本路,PS000087
11100002,-133.49000549316406,正常,黄兴路—政本路,PS000091
11070005,-154.11000061035156,正常,新村路-平利路,QX099645
11070006,-151.80999755859375,正常,武进路口,SW63425265
11080001,-185.5399932861328,正常,宜川路-沪太路,PS000104
2018200030,-337.3999938964844,正常,国庆路晋元路,PS000006
2019300058,-288.20001220703125,低电压,瑞丽路鹤庆路,PS000124
2017050038,-95.5,正常,民星路虬江码头路,QX099665
2019200009,-469.70001220703125,正常,水产路与杨泰路交叉口,PS000253
11090003,-154.3000030517578,正常,车站南路—车站北路,SW63404770
2017050031,-94.9000015258789,正常,百色路平福路,QX099629
2018200053,-242.8000030517578,正常,江浦路中山北二路,SW63404740
2018300005,-379.20001220703125,正常,国展中心15号口,PS000337
2018300004,-337.5,正常,国展中心10号口,PS000337
2019300022,-193.89999389648438,低电压,通南路新二路,PS000099
2019300025,-175.3000030517578,低电压,长江西路通河路,PS000093
2018200016,-533.5999755859375,正常,汶水东路广济路,PS000069
2018200058,-163.0,正常,虹桥路延安西路,PS000251
2017050034,-292.489990234375,正常,慈云街路天钥桥路,QX058367
2017050046,-281.989990234375,正常,中山南一路局门路,PS000196
2017050050,-165.19000244140625,正常,人民路与露香园路交叉口,SW63425220
2017050039,-122.5999984741211,正常,协和路金钟路,PS000323
2019300019,-469.8999938964844,低电压,徐家汇路重庆南路,QX099637
2017050033,-205.60000610351562,正常,喜泰路喜泰支路,QX099629
2018200043,-369.6000061035156,正常,徐梅路龙吴路,PS000312
2018200029,-363.1000061035156,正常,彭江路共和新路,PS000030
2018200026,-365.1000061035156,正常,江场三路汶水路,PS000255
2018200038,-126.69999694824219,正常,华美路七莘路,SW63423440
2019300018,-281.70001220703125,正常,洛川路沪太路,PS000104
2019300029,-202.5,低电压,东宝兴路四川北路,PS000270
2019300060,-213.6999969482422,低电压,紫藤路青衫路,PS000324
2019300064,-424.3999938964844,低电压,光复西路大渡河路,QX099647
2019300002,-252.0,正常,株洲路广中路,PS000039
2019300034,-202.0,正常,祁安路沪嘉高速,SW63425315
2019300035,-382.5,低电压,祁安路环镇南路,SW63425315
2019300048,-164.0,低电压,交通路恒丰路,SW63425235
2019300043,-417.20001220703125,低电压,平型关路民晏路,PS000039
2019300050,-346.3999938964844,低电压,申兰路丰虹路,PS000335
2019300005,-215.10000610351562,低电压,福州路山西南路,SW63425220
2019300006,-268.6000061035156,正常,双流路-新渔东路,SW63404750
2018200037,-322.70001220703125,正常,申昆路天山西路,QX098402
2018200019,-898.2999877929688,正常,宝山路宝通路,PS000270
2018200015,-179.39999389648438,正常,淞南路淞顺路,QX098304
2019100011,-210.0,正常,北翟路吴北路,SW63423440
2019300044,-132.89999389648438,低电压,天等路罗秀路,PS000130
2018200050,-212.0,正常,双阳路控江路,QX099603
2018200062,-232.0,低电压,新华路定西路,QX099664
2018200017,-228.89999389648438,正常,水电路广中路,PS000072
2019200010,-297.29998779296875,正常,江杨南路与通南路交叉口,SW63425925
2017050037,-118.5,正常,长阳路眉州路,PS000082
11080004,-124.62999725341797,正常,共和新路—广延路,QX099630
2018200028,-256.1000061035156,正常,江场路寿阳路,SW63439087
2019300030,-343.79998779296875,低电压,灵石路万荣路,SW63404710
2019300010,-238.60000610351562,低电压,虹古路北虹路,PS000051
2018200025,-182.10000610351562,正常,平型关路彭江路,PS000030
2018200011,-133.8000030517578,正常,无,
2019300070,-153.3000030517578,低电压,铜川路岚皋路,PS000112
2019300036,-98.0,低电压,桂平路宜山路,PS000134
2019300027,-628.2999877929688,低电压,惠民路江浦路,PS000085
2019300009,-442.6000061035156,低电压,长江西路虎林路,SW63425925
2019300037,-221.39999389648438,低电压,内江路周家嘴路,QX099666
11120004,-164.9600067138672,正常,平阳路—顾戴路,PS000243
2019200002,-388.6000061035156,正常,月罗公路与罗东路交叉口,PS000370
2019300033,-222.39999389648438,低电压,塘沽路峨眉路,PS000058
2018200033,-337.79998779296875,正常,沪太支路阳城路,PS000299
11080002,-191.89999389648438,正常,共和新路-平顺路,QX099631
2018300002,-200.0,正常,国展中心4号口,PS000337
2018300001,-359.6000061035156,正常,国展中心1号口,PS000318
82609430,正值,低电压,南亭公路,QX098111
2018300003,-219.0,正常,国展中心7号口,PS000337
2017050003,-87.80000305175781,正常,环镇南路真大路,PS000296
11060001,-287.30999755859375,正常,南京西路—华山路,QX099634
11070003,-147.5,低电压,曹安路-清涧路,QX099648
2017050002,-175.39999389648438,正常,南大路近沪太路,PS000299
2017050020,-150.0,低电压,白玉路隆德路,SW63405200
2017050006,-206.58999633789062,正常,聚丰园路祁连山路,PS000293
11100004,-83.5,正常,中山西路虹桥路,QX099627
2017050030,-202.49000549316406,正常,康定路延平路,SW63425215
2017050021,-190.0,正常,昌化路普陀路,SW63405260
2018200023,-80.19999694824219,维修中,江西中路汉口路,SW63425220
2017050049,-310.0,正常,福建中路九江路口,SW63425220
2017100020,-52.0,正常,巴林路85号门口,QX099643
2017100003,-64.0,正常,虎林路(长江西路西侧),SW63425925
2017100021,-97.0,正常,茅台路850号(威宁路),SW63404750
2017100014,-40.0,正常,仙霞西路9号旁(近剑河路),PS000256
2017100018,-82.0,正常,漕东三路漕东支路(漕溪四村508号对面),SW63404730
2017100006,-70.0,正常,梅岭南路360号(李村路),QX099663
2017100010,-88.0,正常,南石一路,PS000110
2017100025,-70.0,正常,骊山路19号旁(华阴路-中山北路),PS000033
2017100015,-89.0,正常,铜川路1422弄对面,PS000110
2017100008,-60.0,正常,保德路1200号三泉公园门口,QX099631
2017100012,-45.0,正常,海洲路326号(腾越路),PS000388
2017100024,-101.0,正常,开鲁路472-1(中原路),PS000020
2017100016,-42.0,正常,周家嘴路黄兴路,PS000088
2017100017,-33.0,正常,虹漕南路197号(市委党校对面，上师大门口),PS000136
2017100009,-112.0,正常,宛平路21号对面,QX099628
2017100011,-78.0,正常,巨鹿路709号,QX099636
2017100013,-22.0,正常,富民路38号门口,QX099635
2017100019,-45.0,正常,黄河路28号国际饭店,QX099633
2017100002,-70.0,正常,四川中路125号门口,SW63425220
2017100026,-91.0,正常,钦江路333号,PS000134
2017100004,-68.0,正常,局门路局门后路,QX099632
2017100005,-42.0,正常,制造局路近丽园路,QX099632
2017100030,-43.0,正常,中华路河南南路,QX099632
2017100028,-138.0,正常,建国东路肇州路,QX099642
2017100022,-87.0,正常,小木桥路515号,PS000118
2017100023,-70.0,正常,龙吴路401弄75号,PS000135
2017100029,-46.0,正常,田林路65弄2号,QX099625
